date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:24	7809/7809	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2017:10:36%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box1.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box1.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:25	24942/24942	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Sep%202017%2017:43:58%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/banner_text_bg.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/banner_text_bg.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:27	6357/6357	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2017:11:14%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box2.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box2.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:28	10329/10329	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2017:11:44%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box3.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/dtl_box3.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:30	5483/5483	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2019:36:00%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_1.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_1.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:32	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sun,%2010%20Sep%202017%2010:10:26%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/fonts/fontawesome-webfont3e6e.ttf	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/font-awesome.css)
14:08:32	5046/5046	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2019:41:34%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_2.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_2.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:37	16517/16517	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Oct%202017%2014:29:48%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_3.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_3.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:38	20543/20543	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202017%2019:42:20%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_4.png	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/progress_4.png	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:08:39	77303/77303	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Sep%202017%2018:51:28%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_bg.jpg	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/content/counter_bg.jpg	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/css/style.css)
14:13:04	7266383/7266383	UR-M--	200	added ('Partial%20Content')	video/mp4	date:Fri,%2003%20Aug%202018%2019:33:04%20GMT	http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/dark_v.mp4	C:/My%20Web%20Sites/monika%202/kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/images/dark_v.mp4	(from http://kamleshyadav.com/html/portfolio/html/bootstrap5/black_version_video/index.html?fbclid=IwAR2xjQr5zT_UXy7qwN-YOI3veFzmsRzJMkhbphqHDpfwm74ZzEU5_LZSLE4)
